name,best_iou,final_train_loss,final_val_loss,final_train_iou,final_val_iou,output_dir
smp_fpn,0.2169730304742371,0.7240419609211385,0.9106053984165192,0.24677225492937288,0.2169730304742371,experiments\smp_fpn_20260317_174546
smp_unetplusplus,0.20771441356311776,0.7823046609610319,0.9234670650959015,0.2244312178653735,0.20362066222857564,experiments\smp_unetplusplus_20260317_170005
smp_pan,0.19540956952711772,0.7747116774395109,0.9536668926477432,0.20944742249760792,0.19540956952711772,experiments\smp_pan_20260317_185947
smp_deeplabv3plus,0.17918399887197003,0.80398094150424,0.9389797824621201,0.19492050403960934,0.17918399887197003,experiments\smp_deeplabv3plus_20260317_172641
smp_unet,0.17372941739903802,0.7995273196175694,0.9584397131204605,0.19154117362107495,0.16983560467220551,experiments\smp_unet_20260317_164025
smp_linknet,0.16011195795206148,0.9099786865860223,1.0031049370765686,0.17755113313596396,0.15879334836092845,experiments\smp_linknet_20260317_184213
smp_manet,0.15241975783170453,0.8424455841928721,0.9994134187698365,0.18117600995873606,0.1424351575205606,experiments\smp_manet_20260317_182205
smp_pspnet,0.1392527569406663,0.8968536330983042,1.0584324097633362,0.13640722197338853,0.13107270579972666,experiments\smp_pspnet_20260317_180425
